contractId,infraYear,budget,ndbi_d,ndvi_d,bsi_d,change_class,confidence,flagged,reason
24OB0158,2024,48485215.11,-0.0097,-0.0055,-0.0116,no_change,0.99,True,completed_no_satellite_change
24OG0022,2024,29510680.05,0.0105,-0.0148,0.0032,no_change,0.985,True,completed_no_satellite_change
24DC0105,2024,9651344.0,0.0002,-0.0081,-0.0036,no_change,0.992,True,completed_no_satellite_change
24NH0046,2024,96499475.88,0.0502,-0.0706,0.0567,partial_construction,0.151,True,completed_minimal_construction_evidence
24HN0056,2024,144750000.0,-0.0162,0.0155,-0.0149,no_change,0.984,True,completed_no_satellite_change
24A00320,2024,48249062.44,0.0197,-0.0326,0.0188,no_change,0.967,True,completed_no_satellite_change
24CJ0004,2024,92954070.0,0.0922,-0.1597,0.0799,vegetation_cleared,0.248,True,completed_only_clearing_detected
24DD0059,2024,96500000.0,0.0486,-0.0414,0.0459,no_change,0.951,True,completed_no_satellite_change
24CD0104,2024,96499745.71,0.0623,-0.0131,0.0139,partial_construction,0.187,True,completed_minimal_construction_evidence
24IF0062,2024,96499999.9,0.0137,-0.0065,0.0144,no_change,0.986,True,completed_no_satellite_change
24IA0102,2024,96496690.4,0.0089,-0.0207,0.0132,no_change,0.979,True,completed_no_satellite_change
24CC0183,2024,49499511.04,0.0112,0.0077,0.0026,no_change,0.989,True,completed_no_satellite_change
24BF0060,2024,96489687.8,-0.0782,0.0894,-0.0661,partial_construction,0.235,True,completed_minimal_construction_evidence
24IL0009,2024,49000000.0,0.0294,-0.031,0.0395,no_change,0.969,True,completed_no_satellite_change
24CD0106,2024,96499858.85,0.0517,-0.0176,0.0296,partial_construction,0.155,True,completed_minimal_construction_evidence
24ED0058,2024,19599848.4,-0.0057,0.0131,-0.007,no_change,0.987,True,completed_no_satellite_change
24HL0042,2024,45080000.0,-0.0083,0.0052,-0.0071,no_change,0.992,True,completed_no_satellite_change
24H00008,2024,192999998.08,-0.0044,0.0116,-0.0084,no_change,0.988,True,completed_no_satellite_change
24CH0030,2024,41852777.94,-0.0271,0.0729,-0.0146,no_change,0.927,True,completed_no_satellite_change
24GK0014,2024,96499996.75,0.0019,0.0087,0.0028,no_change,0.991,True,completed_no_satellite_change
24A00152,2024,144749869.08,-0.0227,0.0043,-0.0191,no_change,0.977,True,completed_no_satellite_change
24BG0109,2024,77159066.51,-0.106,0.0757,-0.0705,partial_construction,0.318,False,partial_construction_detected
24CJ0029,2024,50000000.0,0.0003,-0.0445,-0.0023,no_change,0.956,True,completed_no_satellite_change
